"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30024","Проверка пагинации","chromium","Wed Jan 01 01:28:29 GMT 2025","broken","Wed Jan 01 01:28:59 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","42","Получить список заданий GET /challenges (200) @GET","chromium","Wed Jan 01 01:32:12 GMT 2025","passed","Wed Jan 01 01:32:12 GMT 2025","API challenge","apitest.spec.js","",""
"","33","Вернуть определенную задачу GET /todos/{id} @GET","chromium","Wed Jan 01 01:32:12 GMT 2025","passed","Wed Jan 01 01:32:12 GMT 2025","API challenge","apitest.spec.js","",""
"","30009","Проверка перехода на страницу производителя","chromium","Wed Jan 01 01:30:05 GMT 2025","broken","Wed Jan 01 01:30:35 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","37","Выполнить запрос GET /todos @GET","chromium","Wed Jan 01 01:32:12 GMT 2025","passed","Wed Jan 01 01:32:12 GMT 2025","API challenge","apitest.spec.js","",""
"","39","Создание задачи POST /todos @POST","chromium","Wed Jan 01 01:32:12 GMT 2025","passed","Wed Jan 01 01:32:12 GMT 2025","API challenge","apitest.spec.js","",""
"","30024","Оставить отзыв","chromium","Wed Jan 01 01:26:54 GMT 2025","broken","Wed Jan 01 01:27:24 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","30024","Смена валюты","chromium","Wed Jan 01 01:25:18 GMT 2025","broken","Wed Jan 01 01:25:48 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","27","Обновление задачи POST /todos @POST","chromium","Wed Jan 01 01:32:12 GMT 2025","passed","Wed Jan 01 01:32:12 GMT 2025","API challenge","apitest.spec.js","",""
"","30019","Проверка кнопки Return the store","chromium","Wed Jan 01 01:31:40 GMT 2025","broken","Wed Jan 01 01:32:10 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
